
Run: 1 Realtime: 0 Accel sens: 2 Gyro sens: 250

Time Captured,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Magn X,Magn Y,Magn Z
248082254,-0.456787,-0.183594,0.863770,3.005981,0.213623,1.014709,22.631836,25.122070,-5.200195
250714462,-0.458008,-0.180176,0.861084,3.303528,0.114441,0.862122,22.631836,25.122070,-5.200195
253634259,-0.461914,-0.179443,0.864502,3.044128,-0.083923,0.900269,22.631836,25.122070,-5.200195
256138466,-0.456055,-0.184082,0.868408,3.234863,0.015259,1.296997,22.558594,24.609375,-5.200195
258636519,-0.460449,-0.175781,0.862793,2.861023,-0.137329,0.801086,22.558594,24.609375,-3.955078
261230573,-0.461182,-0.175781,0.868408,2.929688,0.396729,1.411438,22.558594,24.609375,-3.955078
264138883,-0.460693,-0.176758,0.868652,2.799988,0.022888,1.029968,22.558594,24.609375,-3.955078
266645552,-0.459961,-0.179443,0.861816,2.830505,0.007629,1.174927,22.705078,24.462891,-5.126953
269183810,-0.458252,-0.173584,0.867432,2.975464,0.167847,1.281738,22.705078,24.462891,-5.126953
272193864,-0.459229,-0.175293,0.873047,2.761841,-0.068665,1.159668,22.705078,24.462891,-5.126953
275202687,-0.458252,-0.172363,0.871094,2.525330,-0.015259,1.319885,22.705078,24.462891,-5.126953
278207818,-0.455566,-0.170654,0.866699,2.433777,-0.091553,1.243591,22.705078,24.462891,-5.126953
281182179,-0.455078,-0.171875,0.876465,2.624512,-0.068665,0.999451,22.705078,24.462891,-5.126953
284206181,-0.454346,-0.173340,0.873291,1.968384,-0.122070,1.052856,22.705078,24.462891,-5.126953
287177671,-0.452148,-0.172363,0.874756,2.510071,0.053406,0.961304,22.924805,25.268555,-4.174805
289686801,-0.450684,-0.172607,0.873779,1.869202,0.083923,1.129150,22.924805,25.268555,-4.174805
292241060,-0.445801,-0.168213,0.877930,1.792908,0.076294,0.907898,22.924805,25.268555,-4.174805
